Country,Income classification,Years,Region
Andorra,High Income,2021,Europe & Central Asia
Antigua and Barbuda,High Income,2021,Latin America & Caribbean
Aruba,High Income,2021,Latin America & Caribbean
Australia,High Income,2021,East Asia & Pacific
Austria,High Income,2021,Europe & Central Asia
Bahamas,High Income,2021,Latin America & Caribbean
Bahrain,High Income,2021,Middle East & North Africa
Barbados,High Income,2021,Latin America & Caribbean
Belgium,High Income,2021,Europe & Central Asia
Bermuda,High Income,2021,North America
British Virgin Islands,High Income,2021,Latin America & Caribbean
Brunei ,High Income,2021,East Asia & Pacific
Canada,High Income,2021,North America
Cayman Islands,High Income,2021,Latin America & Caribbean
Channel Islands,High Income,2021,Europe & Central Asia
Chile,High Income,2021,Latin America & Caribbean
Croatia,High Income,2021,Europe & Central Asia
Curaçao,High Income,2021,Latin America & Caribbean
Cyprus,High Income,2021,Europe & Central Asia
Czech Republic,High Income,2021,Europe & Central Asia
Denmark,High Income,2021,Europe & Central Asia
Estonia,High Income,2021,Europe & Central Asia
Faroe Islands,High Income,2021,Europe & Central Asia
Finland,High Income,2021,Europe & Central Asia
France,High Income,2021,Europe & Central Asia
French Polynesia,High Income,2021,East Asia & Pacific
Germany,High Income,2021,Europe & Central Asia
Gibraltar,High Income,2021,Europe & Central Asia
Greece,High Income,2021,Europe & Central Asia
Greenland,High Income,2021,Europe & Central Asia
Guam,High Income,2021,East Asia & Pacific
Hungary,High Income,2021,Europe & Central Asia
Iceland,High Income,2021,Europe & Central Asia
Ireland,High Income,2021,Europe & Central Asia
Isle of Man,High Income,2021,Europe & Central Asia
Israel,High Income,2021,Middle East & North Africa
Italy,High Income,2021,Europe & Central Asia
Japan,High Income,2021,East Asia & Pacific
South Korea,High Income,2021,East Asia & Pacific
Kuwait,High Income,2021,Middle East & North Africa
Latvia,High Income,2021,Europe & Central Asia
Liechtenstein,High Income,2021,Europe & Central Asia
Lithuania,High Income,2021,Europe & Central Asia
Luxembourg,High Income,2021,Europe & Central Asia
Malta,High Income,2021,Middle East & North Africa
Monaco,High Income,2021,Europe & Central Asia
Nauru,High Income,2021,East Asia & Pacific
Netherlands,High Income,2021,Europe & Central Asia
New Caledonia,High Income,2021,East Asia & Pacific
New Zealand,High Income,2021,East Asia & Pacific
Northern Mariana Islands,High Income,2021,East Asia & Pacific
Norway,High Income,2021,Europe & Central Asia
Oman,High Income,2021,Middle East & North Africa
Panama,High Income,2021,Latin America & Caribbean
Poland,High Income,2021,Europe & Central Asia
Portugal,High Income,2021,Europe & Central Asia
Puerto Rico,High Income,2021,Latin America & Caribbean
Qatar,High Income,2021,Middle East & North Africa
Romania,High Income,2021,Europe & Central Asia
San Marino,High Income,2021,Europe & Central Asia
Saudi Arabia,High Income,2021,Middle East & North Africa
Seychelles,High Income,2021,Sub-Saharan Africa
Singapore,High Income,2021,East Asia & Pacific
Sint Maarten,High Income,2021,Latin America & Caribbean
Slovakia,High Income,2021,Europe & Central Asia
Slovenia,High Income,2021,Europe & Central Asia
Spain,High Income,2021,Europe & Central Asia
Saint Kitts and Nevis,High Income,2021,Latin America & Caribbean
Saint Martin,High Income,2021,Latin America & Caribbean
Sweden,High Income,2021,Europe & Central Asia
Switzerland,High Income,2021,Europe & Central Asia
Taiwan,High Income,2021,East Asia & Pacific
Trinidad and Tobago,High Income,2021,Latin America & Caribbean
Turks and Caicos Islands,High Income,2021,Latin America & Caribbean
United Arab Emirates,High Income,2021,Middle East & North Africa
United Kingdom,High Income,2021,Europe & Central Asia
United States,High Income,2021,North America
Uruguay,High Income,2021,Latin America & Caribbean
"Virgin Islands, U.S.",High Income,2021,Latin America & Caribbean